122, "PD Glasometer FN",        3,  55.8,  67.9,  68.3,  54.6,  68.4
123, "PD Open Square FN",       6,  55.2,  65.5,  53.8,  54.3,  67.2
124, "PD Padwobbler FN",        6,  55.2,  74.5,  59.7,  60.3,  75.6
125, "PD Sun Rise",             6,  55.2,  72.3,  42.2,  57.2,  72.8
126, "PD Sweet Analogue",       4,  55.2,  73.7,  72.9,  72.6,  72.7
127, "PD Twoflower FN",         4,  55.2,  83.6,  82.1,  82.5,  77.8
  0, "! Startup Juno Osc",      6,  64.2,  14.3,  24.5,  34.4,  44.6
  1, "ARP 303 Like FN",         1,  62.9,  23.7,  35.5,  46.4,  57.6
  2, "ARP 303 Like II FN",      1,  62.2,  24.3,  36.8,  48.7,  60.9
  3, "ARP C64 FN",              1,  62.2,  34.2,  54.4,  74.3,  94.3
  4, "ARP C64 II FN",           1,  61.6,  33.3,  53.6,  72.8,  92.6
  5, "ARP C64 III FN",          1,  61.0,  33.4,  53.3,  73.3,  94.0
  6, "ARP C64 IV FN",           1,  61.0,  28.5,  40.4,  52.5,  65.1
  7, "ARP Demotrack ARP FN",    6,  60.3,  16.8,  28.6,  40.1,  51.7
  8, "ARP Rumpelkammer FN",     1,  60.3,  19.4,  32.6,  45.8,  59.0
  9, "BS 007 X",                6,  60.3,  18.4,  31.0,  43.4,  56.0
 10, "BS 7th Gates FN",         1,  59.7,  15.3,  26.3,  36.8,  47.3
 11, "BS Bass Deep Room",       1,  59.7,  23.6,  35.1,  46.1,  57.0
 12, "BS Bassolead FN",         1,  59.7,  28.0,  41.9,  56.0,  70.0
 13, "BS Basspa_ FN",           1,  59.0,  18.5,  31.1,  43.6,  56.2
 14, "BS C64 Octavebass FN",    1,  59.0,  26.9,  45.7,  63.9,  82.5
 15, "BS Clean Flat Bass",      1,  59.0,  15.2,  26.1,  36.8,  47.5
 16, "BS D&B Wubler",           1,  59.0,  16.5,  28.9,  40.6,  52.5
 17, "BS Dark Bass",            1,  58.4,  16.3,  28.8,  40.7,  52.4
 18, "BS Dark Night FN",        3,  59.0,  18.0,  29.1,  39.8,  51.1
 19, "BS Detuned FN",           1,  59.0,  18.7,  31.2,  43.7,  56.4
 20, "BS Easy Listener FN",     6,  58.4,  18.4,  31.1,  43.4,  56.1
 21, "BS Energyator FN",        1,  58.4,  15.6,  26.7,  37.3,  48.3
 22, "BS Fat Side FN",          1,  58.4,  16.4,  28.8,  40.9,  52.9
 23, "BS Flamming Bass FN",     1,  58.4,  18.0,  29.7,  41.8,  53.7
 24, "BS Goodspeed FN",         1,  58.4,  23.8,  34.8,  45.6,  56.7
 25, "BS Hard 80's",            1,  57.8,  16.5,  26.8,  36.6,  46.7
 26, "BS Knarziger FN",         1,  57.8,  17.0,  27.4,  37.7,  48.3
 27, "BS LFO Roller FN",        1,  58.4,  18.0,  30.3,  42.5,  55.0
 28, "BS Madskillz FN",         1,  57.8,  23.0,  33.1,  43.3,  54.0
 29, "BS Mixmiddle FN",         1,  57.8,  21.5,  39.0,  56.5,  74.1
 30, "BS Night And Day FN",     6,  57.8,  18.2,  30.4,  42.5,  54.7
 31, "BS Noizigian FN",         1,  57.8,  18.1,  30.7,  43.3,  56.0
 32, "BS Open Bass FN",         1,  57.1,  16.4,  28.0,  39.4,  51.2
 33, "BS Pluggiator FN",        1,  57.8,  23.7,  35.4,  46.5,  57.7
 34, "BS SAWbreaker FN",        1,  57.1,  17.8,  29.2,  40.2,  51.4
 35, "BS Sawlight FN",          1,  57.1,  19.8,  31.2,  42.4,  53.8
 36, "BS Sci Fi",               1,  57.8,  24.2,  42.1,  60.3,  78.3
 37, "BS Slow Filter FN",       1,  57.1,  27.0,  40.0,  53.2,  66.2
 38, "BS Small Bassist FN",     6,  56.5,  26.1,  38.3,  50.4,  62.9
 39, "BS Syncetel Bass FN",     6,  57.1,  17.0,  27.4,  37.9,  48.4
 40, "BS Tripple Wobbler",      1,  57.1,  15.9,  27.5,  38.9,  50.5
 41, "BS Wobbler FN",           1,  57.1,  27.3,  41.1,  54.4,  68.4
 42, "BS Wobbler II FN",        1,  56.5,  28.0,  42.3,  57.0,  71.6
 43, "CD Universal FN",         1,  56.5,  26.1,  37.9,  49.7,  62.0
 44, "CH Chordionator FN",      6,  57.1,  25.1,  36.8,  48.1,  59.9
 45, "CH Chordionator II FN",   1,  56.5,  25.4,  36.8,  48.3,  60.3
 46, "CH Chordionator III FN",  3,  56.5,  15.7,  27.2,  38.7,  49.8
 47, "CH Chordionator IV FN",   1,  56.5,  23.8,  35.2,  46.5,  58.4
 48, "CH Open Mind FN",         1,  56.5,  26.1,  38.0,  49.8,  62.0
 49, "CH SIDchord FN",          6,  56.5,  27.5,  40.5,  54.1,  67.6
 50, "DR 8bit  Kick II FN",     1,  57.1,  23.2,  36.2,  49.1,  62.4
 51, "DR 8bit  Kick III FN",    6,  56.5,  28.7,  40.8,  53.1,  65.6
 52, "DR 8bit Kick FN",         6,  56.5,  25.6,  36.6,  48.1,  59.3
 53, "DR Crash Space",          6,  56.5,  23.5,  43.0,  62.2,  82.3
 54, "DR Hat Reverse",          1,  56.5,  17.9,  32.1,  46.2,  60.0
 55, "DR Hat Short Moves",      1,  56.5,  18.3,  32.2,  46.2,  60.1
 56, "DR Hat Short",            4,  56.5,  17.9,  31.9,  45.7,  59.7
 57, "DR HiHat FN",             1,  55.8,  13.7,  22.6,  31.6,  40.5
 58, "DR Kick Clean",           1,  56.5,  19.3,  34.1,  48.9,  63.7
 59, "DR Kick FN",              1,  56.5,  14.9,  24.8,  34.8,  44.9
 60, "DR Kick II FN",           1,  55.8,  28.7,  38.9,  49.3,  59.7
 61, "DR Kick III FN",          1,  55.8,  28.5,  40.4,  52.7,  65.0
 62, "DR Kick Old School",      6,  56.5,  19.3,  34.1,  49.0,  63.7
 63, "DR Kick Phat",            1,  55.8,  26.4,  40.7,  54.9,  69.4
 64, "DR Perc Bongo Room",      1,  55.8,  23.9,  35.9,  48.0,  60.1
 65, "DR Perc Room",            1,  55.8,  22.4,  32.6,  42.9,  53.5
 66, "DR Snare Dry",            1,  55.8,  21.1,  34.3,  46.7,  59.4
 67, "DR Sub Impact",           1,  55.8,  15.0,  25.1,  35.3,  45.4
 68, "FX Alien Storm",          1,  55.8, 102.7, 104.7, 105.4, 105.7
 69, "FX Blubberwasser FN",     1,  55.2,  33.1,  50.7,  68.8,  87.6
 70, "FX Break FM",             6,  55.8,  35.2,  59.3,  84.1, 109.8
 71, "FX C64 FN",               1,  55.8,  31.5,  49.1,  66.2,  82.9
 72, "FX Digital Transfer",     1,  55.8,  32.0,  53.1,  75.2,  98.5
 73, "FX Falling Break",        1,  55.8,  54.5,  54.5,  54.3,  54.3
 74, "FX Metallica FN",         1,  55.8,  65.8,  65.9,  50.8,  66.1
 75, "FX Mod Triangle FM",      1,  55.2,  16.5,  29.2,  42.2,  55.2
